subjectID,wave,run1,run2,run3,run4
DEV111,1,4,4,4,4
DEV111,2,,,,
DEV112,1,4,4,4,4
DEV112,2,4,4,4,4
DEV113,1,4,4,4,4
DEV113,2,4,4,4,4
DEV114,1,4,,,
DEV114,2,4,4,4,4
DEV115,1,4,4,4,4
DEV115,2,4,4,4,4
DEV116,1,4,4,4,4
DEV116,2,4,4,4,4
DEV117,1,4,4,4,4
DEV117,2,4,4,4,4
DEV118,1,4,4,4,4
DEV118,2,4,4,4,4
DEV119,1,4,4,4,4
DEV119,2,4,4,4,4
DEV120,1,4,4,4,4
DEV120,2,4,4,4,4
DEV121,1,4,4,4,4
DEV121,2,4,4,4,4
DEV122,1,4,4,4,4
DEV122,2,4,4,4,4
DEV123,1,4,4,4,4
DEV123,2,,,,
DEV124,1,4,4,4,4
DEV124,2,4,4,4,4
DEV125,1,4,4,4,4
DEV125,2,4,4,4,4
DEV126,1,4,4,4,4
DEV126,2,4,4,4,4
DEV127,1,4,4,4,4
DEV127,2,4,4,4,4
DEV128,1,4,4,4,4
DEV128,2,4,4,4,4
DEV129,1,4,4,4,4
DEV129,2,4,4,4,4
DEV130,1,4,4,4,4
DEV130,2,4,4,4,4
DEV131,1,4,4,4,4
DEV131,2,,,,
DEV132,1,4,4,4,4
DEV132,2,4,4,4,4
DEV133,1,4,4,4,4
DEV133,2,4,4,4,4
DEV134,1,4,4,4,4
DEV134,2,4,4,4,4
DEV135,1,4,4,4,4
DEV135,2,4,4,4,4
DEV137,1,4,4,4,4
DEV137,2,4,4,4,4
DEV138,1,4,4,4,4
DEV138,2,4,4,4,4
DEV139,1,4,4,4,4
DEV139,2,4,4,4,4
DEV140,1,4,4,4,4
DEV140,2,4,4,4,4
DEV141,1,4,4,4,4
DEV141,2,4,4,4,4
DEV143,1,4,4,4,4
DEV143,2,4,4,4,4
DEV144,1,4,4,4,4
DEV144,2,4,4,4,4
DEV145,1,4,4,4,4
DEV145,2,4,4,4,4
DEV147,1,4,4,4,4
DEV147,2,4,4,4,4
DEV149,1,4,4,4,4
DEV149,2,4,4,4,4
DEV150,1,4,4,4,4
DEV150,2,4,4,4,4
DEV151,1,4,4,4,4
DEV151,2,4,4,4,4
DEV152,1,4,4,4,4
DEV152,2,,,,
DEV153,1,4,4,4,4
DEV153,2,4,4,4,4
DEV154,1,4,4,4,4
DEV154,2,4,4,4,4
DEV155,1,4,4,4,4
DEV155,2,4,4,4,4
DEV156,1,4,4,4,4
DEV156,2,4,4,4,4
DEV157,1,4,4,4,4
DEV157,2,4,4,4,4
DEV158,1,4,4,4,4
DEV158,2,4,4,4,4
DEV159,1,4,4,4,4
DEV159,2,4,4,4,4
DEV161,1,4,4,4,4
DEV161,2,4,4,4,4
DEV163,1,4,4,4,4
DEV163,2,4,4,4,4
DEV164,1,4,4,4,4
DEV164,2,4,4,4,4
DEV166,1,4,4,4,4
DEV166,2,,,,
DEV167,1,4,4,4,4
DEV167,2,4,4,4,4
DEV168,1,4,4,4,4
DEV168,2,,,,
DEV169,1,4,4,4,4
DEV169,2,,,,
DEV170,1,4,4,4,4
DEV170,2,,,,
DEV171,1,4,4,4,4
DEV171,2,,,,
DEV172,1,4,4,4,4
DEV172,2,,,,
DEV173,1,4,4,4,4
DEV173,2,,,,
DEV174,1,4,4,4,4
DEV174,2,,,,
DEV176,1,4,4,4,4
DEV176,2,,,,
DEV177,1,4,4,4,4
DEV177,2,4,4,4,4
DEV178,1,4,4,4,4
DEV178,2,4,4,4,4
DEV179,1,4,4,4,4
DEV179,2,4,4,4,4
DEV180,1,4,4,4,4
DEV180,2,4,4,4,4
DEV181,1,4,4,4,4
DEV181,2,4,4,4,4
DEV182,1,4,4,4,4
DEV182,2,4,4,4,4
DEV183,1,4,4,4,4
DEV183,2,4,4,4,4
DEV185,1,4,4,4,4
DEV185,2,4,4,4,4
DEV186,1,4,4,4,4
DEV186,2,4,4,4,4
DEV187,1,4,4,4,4
DEV187,2,4,4,4,4
DEV188,1,4,4,4,4
DEV188,2,4,4,4,4
DEV189,1,4,4,4,4
DEV189,2,4,4,4,4
DEV190,1,4,4,4,4
DEV190,2,4,4,4,4
DEV191,1,4,4,4,4
DEV191,2,4,4,4,4
DEV192,1,4,4,4,4
DEV192,2,4,4,4,4
DEV193,1,4,4,4,4
DEV193,2,4,4,4,4
DEV194,1,4,4,4,4
DEV194,2,4,4,4,4
DEV195,1,4,4,4,4
DEV195,2,4,4,4,4
DEV196,1,4,4,4,4
DEV196,2,4,4,4,4
DEV197,1,4,4,4,4
DEV197,2,4,4,4,4
DEV198,1,4,4,4,4
DEV198,2,4,4,4,4
DEV199,1,4,4,4,4
DEV199,2,4,4,4,4
DEV200,1,4,4,4,4
DEV200,2,4,4,4,4
DEV201,1,4,4,4,4
DEV201,2,4,4,4,4
