subjectID,run1,run2,run3,run4
DEVDEV210,2,0,0,1
DEVDEV211,2,0,0,2
DEVDEV215,0,3,1,0
DEVDEV216,0,0,0,0
DEVDEV217,0,0,0,0
DEVDEV218,2,2,3,4
DEVDEV219,0,0,0,1
DEVDEV220,1,0,1,0
DEVDEV221,7,9,NaN,NaN
DEVDEV222,1,0,0,0
DEVDEV223,2,0,0,2
DEVDEV224,1,0,0,0
DEVDEV225,0,0,0,0
DEVDEV228,0,1,0,0
DEVDEV230,0,0,0,0
DEVDEV231,1,2,3,0
DEVDEV232,0,0,0,0
DEVDEV233,0,0,0,0
DEVDEV234,0,0,0,0
DEVDEV235,0,1,1,0
DEVDEV236,0,0,0,0
DEVDEV237,0,0,0,0
DEVDEV238,1,0,0,1
DEVDEV239,0,0,1,0
DEVDEV240,0,0,0,0
DEVDEV241,1,1,0,0
DEVDEV242,1,0,NaN,NaN
DEVDEV243,1,2,0,0
DEVDEV244,0,1,0,0
DEVDEV246,1,0,0,0
DEVDEV247,3,0,0,0
DEVDEV249,0,0,0,0
DEVDEV250,1,0,0,0
DEVDEV251,0,2,4,1
DEVDEV252,2,0,0,0
DEVDEV253,3,1,0,0
DEVDEV254,0,0,0,0
DEVDEV255,1,1,0,0
DEVDEV256,4,0,0,1
DEVDEV257,1,0,0,0
DEVDEV258,1,0,0,1
DEVDEV259,0,0,0,0
DEVDEV260,1,0,0,3
DEVDEV261,2,0,1,0
DEVDEV262,1,2,0,6
DEVDEV263,1,0,1,1
DEVDEV264,0,0,0,0
DEVDEV265,15,19,15,16
DEVDEV266,0,0,1,0
DEVDEV267,0,0,0,0
DEVDEV268,4,3,3,2
DEVDEV269,0,0,0,0
DEVDEV270,1,1,0,0
DEVDEV271,1,0,0,1
DEVDEV272,3,2,0,0
DEVDEV273,0,1,0,1
DEVDEV274,2,0,0,0
DEVDEV275,0,0,0,0
DEVDEV276,5,2,3,1
DEVDEV277,1,2,2,2
DEVDEV278,1,0,0,0
DEVDEV281,1,0,0,0
DEVDEV282,8,14,19,18
DEVDEV283,2,0,0,0
DEVDEV284,1,0,0,1
DEVDEV285,0,0,0,1
DEVDEV286,1,2,0,0
DEVDEV290,0,1,0,0
DEVDEV291,0,1,0,1
DEVDEV292,1,2,0,1
DEVDEV293,1,0,4,0
DEVDEV294,1,0,0,0
DEVDEV295,0,0,0,0
DEVDEV296,0,0,0,0
DEVDEV297,1,0,0,1
DEVDEV298,0,0,2,1
DEVDEV299,3,0,1,3
DEVDEV300,0,0,0,0
DEVDEV301,0,0,0,0
DEVDEV302,0,0,0,0
DEVDEV303,1,0,0,0
DEVDEV304,0,0,1,1
DEVDEV305,1,0,0,0
DEVDEV306,0,0,1,1
DEVDEV307,0,0,0,0
DEVDEV308,2,2,0,0
DEVDEV309,1,0,0,0
DEVDEV310,1,0,3,0
DEVDEV311,2,0,0,0
DEVDEV312,1,0,0,0
