subjectID,wave,excluded_run,ROC1,ROC2,ROC3,ROC4,SST1,WTP1,WTP2,WTP3,WTP4
DEV190,2,TRUE,NA,NA,11.3,11.3,NA,NA,NA,NA,NA
DEV191,2,FALSE,1.4,0,1.4,1.4,3.8,2.2,1.1,1.1,0
DEV192,2,FALSE,0,0.7,0,0,0,0,0,0,0
DEV193,2,FALSE,0,0,0,0,0,0,1.1,0,0
DEV194,2,FALSE,0,0,0,0,0,0,0,0,0
DEV195,2,FALSE,0,0,0,3.5,6.1,0,0,0,0
DEV196,2,FALSE,2.1,2.8,0,0.7,2.4,0,0,1.1,0
DEV197,2,FALSE,0,0.7,1.4,0,1.4,4.3,0,0,1.1
DEV198,2,FALSE,7.1,9.2,9.9,6.4,0.9,3.2,0,1.1,0
DEV199,2,FALSE,0,0,0,0,0.5,0,0,0,0
DEV200,2,FALSE,2.1,0,4.3,1.4,0.9,0,0,0,1.1
DEV201,2,FALSE,8.5,2.1,NA,4.3,4.7,7.5,6.5,4.3,8.6
DEV201,2,TRUE,NA,NA,10.6,NA,NA,NA,NA,NA,NA
DEV203,2,FALSE,4.3,0.7,1.4,2.8,6.1,1.1,1.1,2.2,2.2
DEV204,2,FALSE,0.7,1.4,2.8,0.7,0.9,2.2,0,0,0
DEV205,2,FALSE,0,0,0,0,0,0,0,0,0
DEV206,2,FALSE,0.7,0,0.7,0,0,0,0,0,0
DEV207,2,FALSE,0,0,0.7,0,NA,0,0,1.1,1.1
DEV208,2,FALSE,0,0,0,0,0,1.1,0,2.2,0
DEV209,2,FALSE,0,0,1.4,7.1,0,0,0,0,0
DEV210,2,FALSE,0.7,0,1.4,1.4,0.5,0,0,0,0
DEV211,2,FALSE,0,0,0,0,0,0,0,0,0
DEV215,2,FALSE,0,0,0.7,0,0,0,1.1,0,1.1
DEV216,2,FALSE,0,2.1,2.8,0,1.4,0,0,0,0
DEV217,2,FALSE,0,0,0,0,0,0,0,0,0
DEV218,2,FALSE,0,0,0.7,0,0.5,1.1,0,1.1,0
DEV219,2,FALSE,0,0.7,0.7,2.1,0.5,2.2,1.1,3.2,1.1
DEV220,2,FALSE,0,0,0,0,0,1.1,4.3,0,0
DEV222,2,FALSE,0,0,0,0,0,2.2,0,0,0
DEV223,2,FALSE,2.8,2.1,0.7,1.4,4.2,2.2,2.2,2.2,NA
DEV224,2,FALSE,0,0,0,0,0,0,0,0,0
DEV225,2,FALSE,0,0,1.4,2.1,0,2.2,0,0,0
DEV228,2,FALSE,0,0,0,0,0,1.1,0,0,0
DEV230,2,FALSE,0,0,0,0,0,0,0,0,0
DEV231,2,FALSE,2.8,1.4,1.4,0,0,0,0,0,0
DEV232,2,FALSE,0.7,0.7,1.4,0,0,0,2.2,0,0
DEV233,2,FALSE,2.8,0,0,0,0,0,2.2,0,0
DEV234,2,FALSE,0,0.7,0,2.1,0,0,0,0,0
DEV235,2,FALSE,0,0,0,0,0,0,0,2.2,0
DEV236,2,FALSE,0,0,0,0,0,0,0,0,0
DEV237,2,FALSE,0,0,1.4,1.4,0,2.2,0,NA,0
DEV238,2,FALSE,0,0,0,0,0,0,0,0,0
DEV239,2,FALSE,0,0,1.4,0,0.9,0,0,0,0
DEV240,2,FALSE,0.7,0,0,0,0,0,0,0,0
DEV241,2,FALSE,0.7,0,0.7,2.8,2.8,2.2,2.2,7.5,4.3
DEV243,2,FALSE,2.1,0.7,0,1.4,0.9,0,4.3,0,2.2
DEV244,2,FALSE,0,0,0,0,0,0,0,0,0
DEV246,2,FALSE,0,0,0.7,0,0,0,2.2,0,0
DEV247,2,FALSE,0,0,0,0,0.5,0,0,0,0
