subjectID,wave,run1,run2,run3,run4
DEV109,1,1,1,1,1
DEV109,2,1,1,1,1
DEV110,1,1,1,1,1
DEV110,2,1,1,1,0
DEV111,1,1,1,1,1
DEV111,2,0,0,0,0
DEV112,1,1,1,1,1
DEV112,2,1,1,1,1
DEV113,1,1,1,1,1
DEV113,2,1,1,1,1
DEV114,1,1,1,1,1
DEV114,2,1,1,1,1
DEV115,1,1,1,1,1
DEV115,2,1,1,1,1
DEV116,1,1,1,1,1
DEV116,2,1,1,1,1
DEV117,1,1,1,1,1
DEV117,2,1,1,1,1
DEV118,1,1,1,1,1
DEV118,2,1,1,1,1
DEV119,1,1,1,1,1
DEV119,2,1,1,1,1
DEV120,1,1,1,1,1
DEV120,2,1,1,1,1
DEV121,1,1,1,1,1
DEV121,2,1,1,1,1
DEV122,1,1,1,1,1
DEV122,2,1,1,1,1
DEV123,1,1,1,1,1
DEV123,2,0,0,0,0
DEV124,1,1,1,1,1
DEV124,2,1,1,1,1
DEV125,1,1,1,1,1
DEV125,2,1,1,1,1
DEV126,1,1,1,1,1
DEV126,2,1,1,1,1
DEV127,1,1,1,1,1
DEV127,2,1,1,1,1
DEV128,1,1,1,1,1
DEV128,2,1,1,1,1
DEV129,1,1,1,1,1
DEV129,2,1,1,1,1
DEV130,1,1,1,1,1
DEV130,2,1,1,1,1
DEV131,1,1,1,1,1
DEV131,2,0,0,0,0
DEV132,1,1,1,1,1
DEV132,2,1,1,1,1
DEV133,1,1,1,1,1
DEV133,2,0,2,1,1
DEV134,1,1,1,1,1
DEV134,2,1,1,1,1
DEV135,1,1,1,1,1
DEV135,2,2,1,1,1
DEV137,1,1,1,1,1
DEV137,2,1,1,1,1
DEV138,1,1,1,1,1
DEV138,2,1,1,1,1
DEV139,1,1,1,1,1
DEV139,2,1,1,1,1
DEV140,1,1,1,1,1
DEV140,2,1,1,1,1
DEV141,1,1,1,1,1
DEV141,2,1,1,1,1
DEV143,1,0,1,1,1
DEV143,2,1,1,1,1
DEV144,1,1,1,1,1
DEV144,2,1,1,1,1
DEV145,1,1,1,1,1
DEV145,2,1,1,1,1
DEV147,1,1,1,1,1
DEV147,2,1,1,1,1
DEV149,1,1,1,1,1
DEV149,2,1,1,1,1
DEV150,1,1,1,1,1
DEV150,2,1,1,1,1
DEV151,1,1,0,1,1
DEV151,2,1,1,1,1
DEV152,1,1,1,1,1
DEV152,2,0,0,0,0
