subjectID,wave,run1,run2,run3,run4
DEV111,1,2,2,2,2
DEV111,2,,,,
DEV112,1,2,2,2,2
DEV112,2,2,2,2,2
DEV113,1,2,2,2,2
DEV113,2,2,2,2,2
DEV114,1,2,,,
DEV114,2,2,2,2,2
DEV115,1,2,2,2,2
DEV115,2,2,2,2,2
DEV116,1,2,2,2,2
DEV116,2,2,2,2,2
DEV117,1,2,2,2,2
DEV117,2,2,2,2,2
DEV118,1,2,2,2,2
DEV118,2,2,2,2,2
DEV119,1,2,2,2,2
DEV119,2,2,2,2,2
DEV120,1,2,2,2,2
DEV120,2,2,2,2,2
DEV121,1,2,2,2,2
DEV121,2,2,2,2,2
DEV122,1,2,2,2,2
DEV122,2,2,2,2,2
DEV123,1,2,2,2,2
DEV123,2,,,,
DEV124,1,2,2,2,2
DEV124,2,2,2,2,2
DEV125,1,2,2,2,2
DEV125,2,2,2,2,2
DEV126,1,2,2,2,2
DEV126,2,2,2,2,2
DEV127,1,2,2,2,2
DEV127,2,2,2,2,2
DEV128,1,2,2,2,2
DEV128,2,2,2,2,2
DEV129,1,2,2,2,2
DEV129,2,2,2,2,2
DEV130,1,2,2,2,2
DEV130,2,2,2,2,2
DEV131,1,2,2,2,2
DEV131,2,,,,
DEV132,1,2,2,2,2
DEV132,2,2,2,2,2
DEV133,1,2,2,2,2
DEV133,2,2,2,2,2
DEV134,1,2,2,2,2
DEV134,2,2,2,2,2
DEV135,1,2,2,2,2
DEV135,2,2,2,2,2
DEV137,1,2,2,2,2
DEV137,2,2,2,2,2
DEV138,1,2,2,2,2
DEV138,2,2,2,2,2
DEV139,1,2,2,2,2
DEV139,2,2,2,2,2
DEV140,1,2,2,2,2
DEV140,2,2,2,2,2
DEV141,1,2,2,2,2
DEV141,2,2,2,2,2
DEV143,1,2,2,2,2
DEV143,2,2,2,2,2
DEV144,1,2,2,2,2
DEV144,2,2,2,2,2
DEV145,1,2,2,2,2
DEV145,2,2,2,2,2
DEV147,1,2,2,2,2
DEV147,2,2,2,2,2
DEV149,1,2,2,2,2
DEV149,2,2,2,2,2
DEV150,1,2,2,2,2
DEV150,2,2,2,2,2
DEV151,1,2,2,2,2
DEV151,2,2,2,2,2
DEV152,1,2,2,2,2
DEV152,2,,,,
DEV153,1,2,2,2,2
