subjectID,wave,run,foodpic,health,liking,liking_rating,bid,rt
DEV002,1,run1,Peanuts.bmp,healthy,disliked,3,2,0.67424863303313
DEV002,1,run1,ClifBar1.bmp,healthy,disliked,2,1,0.424767368007451
DEV002,1,run1,CottageCheese.bmp,healthy,liked,4,2,0.46904773300048
DEV002,1,run1,hariboraspberries.bmp,unhealthy,liked,4,3,1.59990484802984
DEV002,1,run2,Oreos.bmp,unhealthy,liked,4,NULL,2.5
DEV002,1,run2,SunflowerSeeds.bmp,healthy,liked,4,1,0.435469293035567
DEV002,1,run2,Orange.bmp,healthy,liked,4,2,0.653575249016285
DEV002,1,run2,Funyuns_small.bmp,unhealthy,disliked,2,1,1.14855332602747
DEV002,1,run2,lunchables_turkey.bmp,unhealthy,liked,4,2,2.40449075895594
DEV002,1,run2,AppleChips.bmp,healthy,disliked,3,1,0.505984676012304
DEV002,1,run2,100grand_small.bmp,unhealthy,liked,3,4,2.0750224920339
DEV002,1,run2,KettleChips.bmp,unhealthy,disliked,2,1,0.502893428027164
DEV002,1,run2,Almonds.bmp,healthy,liked,4,2,0.488136760017369
DEV002,1,run2,RXBar.bmp,healthy,disliked,1,1,0.390693642024416
DEV002,1,run2,SourCreamChips.bmp,unhealthy,disliked,2,2,0.471397174987942
DEV002,1,run2,crackerjacks.bmp,unhealthy,disliked,1,1,0.471176196995657
DEV002,1,run2,StringCheese.bmp,healthy,disliked,2,2,0.473914253991097
DEV002,1,run2,RedApple.bmp,healthy,disliked,2,2,0.438574697007425
DEV002,1,run2,HardBoiledEgg.bmp,healthy,liked,4,2,0.492437463952228
DEV002,1,run2,cornnuts.bmp,unhealthy,liked,4,2,0.553729005972855
DEV002,1,run3,candycorn.bmp,unhealthy,liked,4,3,0.682959541038144
DEV002,1,run3,Pecans.bmp,healthy,liked,4,2,0.511435959022492
DEV002,1,run3,Hummus.bmp,healthy,liked,4,2,0.40368019300513
DEV002,1,run3,oatmealcookie.bmp,unhealthy,disliked,1,2,0.472069577954244
DEV002,1,run3,Doritos.bmp,unhealthy,liked,4,3,1.08514628297416
DEV002,1,run3,Carrots.bmp,healthy,disliked,2,2,1.40453980700113
DEV002,1,run3,CoolRanchDoritos.bmp,unhealthy,liked,4,2,0.564626420033164
DEV002,1,run3,JellyBeans.bmp,unhealthy,disliked,2,3,0.601413932978176
DEV002,1,run3,Pistachios.bmp,healthy,liked,4,1,0.451286285999231
DEV002,1,run3,KaleChips.bmp,healthy,disliked,1,1,0.445340038044378
DEV002,1,run3,peanutbuttercookie.bmp,unhealthy,disliked,2,2,1.00993733201176
DEV002,1,run3,M&Ms.bmp,unhealthy,disliked,1,2,1.2895773370401
DEV002,1,run3,Blueberries.bmp,healthy,disliked,2,3,0.887537339993287
DEV002,1,run3,FruitLeather.bmp,healthy,disliked,1,1,0.436476006056182
DEV002,1,run3,Apricots.bmp,healthy,liked,4,3,0.883830947976094
DEV002,1,run3,creamsicle.bmp,unhealthy,liked,4,1,0.484506545006298
DEV002,1,run4,JackLinks.bmp,unhealthy,liked,4,3,0.869030617002863
DEV002,1,run4,CoconutChips.bmp,healthy,liked,4,2,0.418021656980272
